idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000000003.15	10.0917	10.1542	10.2817	10.2617	10.4517	10.1417	9.7818	10.8218	10.3617	9.9517	9.0319	10.9317	10.5917	10.5517	10.8918
ENSG00000000005.6	4.9145	6.4053	3.5162	0	2.583	8.6617	2.4739	3.7326	0.8857	3.0983	2.1869	1.6417	3.0125	2.1636	2.3597
ENSG00000000419.12	9.3718	9.5343	9.2216	9.2816	9.5415	10.1217	9.6318	9.8913	9.8318	9.4616	9.3318	9.4916	9.9318	9.6818	10.0115
ENSG00000000457.14	10.2117	10.0242	10.2117	9.9017	10.1616	9.9517	9.8418	10.3316	10.3317	10.1117	9.8018	10.5917	10.3617	10.1218	10.3917
ENSG00000000460.17	8.132	8.3345	8.3116	8.0315	7.7102	8.3818	8.452	8.2388	8.4822	8.0714	8.0122	8.3815	8.652	8.682	8.1802
ENSG00000000938.13	9.3218	9.1243	9.3717	9.3917	8.8712	8.7317	9.4818	7.0542	9.4419	9.0416	8.762	9.7317	8.702	9.3919	8.07
ENSG00000000971.16	12.4917	13.3041	12.1717	12.8917	13.1919	13.7517	14.1616	11.8821	12.4216	13.3318	13.5116	12.9818	13.1316	13.4316	12.932
ENSG00000001036.14	10.6617	10.8142	10.6317	10.7917	10.9018	10.5117	10.7817	10.8218	10.8617	10.9617	10.8617	10.8317	10.7017	10.7717	10.9518
ENSG00000001084.13	10.5417	10.2242	10.9117	10.4617	10.3317	10.5017	10.9817	10.7718	10.6417	10.4117	10.1017	10.8417	10.5817	11.2617	10.9018
ENSG00000001167.14	10.3017	9.9842	10.2917	10.0817	10.2316	9.5717	10.1117	10.3616	10.2317	10.1517	10.0318	9.9117	10.3917	10.3517	9.7014
ENSG00000001460.18	7.5821	7.5647	7.6214	7.6614	7.7503	7.2818	7.0026	7.5567	7.4928	7.5111	7.3526	7.6913	7.3526	7.1729	7.6093
ENSG00000001461.17	10.7917	10.5342	10.8817	10.9017	11.1318	10.0717	10.2117	11.5121	10.9117	10.6417	10.2517	10.7117	10.6217	10.5417	11.2118
ENSG00000001497.16	9.5818	9.5043	9.5617	9.4217	9.7015	9.4217	9.1818	9.4609	9.4019	9.6716	9.6518	9.3716	9.2719	9.2519	9.4913
ENSG00000001561.7	10.3517	10.4242	10.0317	10.0417	10.1516	10.5417	10.1017	10.5417	10.7817	9.3116	10.0118	10.8017	11.0117	10.2617	10.8518
ENSG00000001617.12	8.4119	8.3644	8.2115	8.2815	7.7603	8.9617	7.9721	6.8732	7.9924	8.5315	8.552	7.6513	7.7624	7.8224	7.8798
ENSG00000001626.16	15.7017	15.7141	16.0817	15.9717	16.2119	11.0017	13.9616	15.8924	15.8216	15.1618	8.682	16.1018	16.0416	15.8216	15.4421
ENSG00000001629.10	11.4417	11.5642	11.4317	11.4117	11.3518	11.7617	11.9917	11.4721	11.5416	11.5217	11.4717	11.4617	11.7516	11.8316	11.8919
ENSG00000001630.17	11.9117	12.0142	11.1017	11.5317	11.5418	11.3817	11.5117	11.8121	12.7516	11.2417	11.5817	11.4217	11.6816	11.4217	12.0819
ENSG00000001631.15	10.5717	10.7242	10.5317	10.5117	10.8718	10.9217	11.0617	11.1019	10.7617	10.4517	10.6817	10.9517	11.0417	11.1217	11.0018
ENSG00000002016.18	8.8018	8.5944	8.7716	8.8716	9.0313	8.5517	8.492	9.1205	8.2623	8.9215	8.532	8.9516	8.532	8.752	8.971
ENSG00000002079.14	3.9472	2.4924	2.8631	2.6316	1.1699	3.1537	3.9695	3.0023	3.1073	3.6828	4.2301	3.4028	3.1605	2.1636	4.2436
ENSG00000002330.13	9.4418	9.3443	9.2416	9.5517	9.7115	9.0317	8.252	8.8901	8.6421	9.8017	9.6418	8.9116	8.652	8.642	8.6908
ENSG00000002549.12	11.5717	11.5142	11.2117	11.1617	11.0418	11.5717	11.5817	10.3816	11.9116	12.0418	11.6017	11.1117	11.2617	11.6816	11.1018
ENSG00000002586.20	10.9317	11.7842	10.5917	10.9517	10.7117	11.7217	11.5617	10.6618	10.7917	11.1317	12.0416	10.4617	10.9317	11.4417	10.4817
ENSG00000002586.20_PAR_Y	10.9317	11.7842	10.5917	10.9517	10.7117	11.7217	11.5617	10.6618	10.7917	11.1317	12.0416	10.4617	10.9317	11.4417	10.4817
ENSG00000002587.10	9.0818	8.5044	7.7715	8.1715	8.2508	7.6218	8.242	6.6315	8.3422	8.7915	8.0422	7.1511	7.7724	8.1322	8.5606
ENSG00000002726.20	10.0517	7.1449	7.5314	7.4014	6.6183	3.9828	6.3032	7.2855	7.4928	8.2714	8.9819	5.9202	5.256	5.9745	8.7708
ENSG00000002745.13	3.2407	4.708	4.7594	3.3757	3.6128	5.4121	4.268	3.0023	3.7777	5.1084	6.2237	4.3371	3.1605	4.5097	4.904
ENSG00000002746.15	5.0343	7.3648	6.471	7.0413	6.6484	8.2718	8.6119	5.1929	6.1447	7.0709	7.1527	6.4907	6.3037	8.0823	7.1683
ENSG00000002822.15	8.9018	8.9743	8.8416	9.0616	8.7811	8.4617	8.6519	8.3792	8.0724	9.2616	8.9919	8.1414	8.4021	8.6021	8.2703
ENSG00000002834.18	11.9517	11.7242	12.1017	11.8717	11.8519	12.2517	12.0417	11.7721	12.0616	12.1618	11.9016	11.9117	11.8616	12.0116	12.332
ENSG00000002919.14	9.1818	9.1243	9.1516	9.0116	8.8712	8.9517	8.8919	8.6998	8.912	9.5316	9.2919	8.7816	8.632	9.0019	8.8709
ENSG00000002933.9	10.2317	10.3842	9.7917	9.9217	9.7315	10.1317	9.9118	7.2855	8.4422	10.7517	11.1317	9.2216	9.4418	9.8018	10.0716
ENSG00000003056.8	12.1017	12.1042	12.0117	11.8917	11.8919	11.5317	12.1317	11.6421	12.2716	12.2318	11.9016	12.0417	12.1216	12.2616	11.9319
ENSG00000003096.14	8.6619	8.3045	8.1515	8.5916	9.0513	9.1217	8.402	9.1205	8.3422	8.2214	8.3321	8.4315	9.1519	8.0923	8.7908
ENSG00000003137.8	5.7932	6.1855	4.7594	4.8095	3.6128	6.5219	5.3945	4.4638	4.4119	5.7196	5.7146	3.2519	5.4355	4.6191	3.5875
ENSG00000003147.19	10.1917	10.0442	10.3917	10.2717	10.5117	9.2817	9.1918	11.232	10.6117	10.4917	9.8618	10.1417	10.7917	9.6418	11.0118
ENSG00000003249.14	7.762	7.3248	8.0815	7.7915	7.8404	5.5021	5.9237	7.9982	7.8825	8.1714	6.9029	7.6913	7.8623	7.4826	7.8798
ENSG00000003393.15	10.7317	10.7942	10.5917	10.6817	10.7317	10.9117	10.8617	10.6017	10.9317	10.8417	10.8317	11.0817	10.8717	10.8117	10.6517
ENSG00000003400.15	10.1717	10.3342	10.2317	10.0617	10.2617	10.2717	10.4217	9.7211	10.5617	10.4517	9.8918	10.1117	10.2117	10.7317	10.3617
ENSG00000003402.20	13.4717	13.3941	13.7717	13.5517	13.6319	13.5517	13.5516	13.5323	13.5816	13.3718	13.1916	13.5218	13.3216	13.6216	13.402
ENSG00000003436.16	11.0117	11.0442	10.6617	10.7117	11.1218	12.5717	11.9617	10.3516	11.7516	10.6617	11.5017	11.3517	11.5517	11.0217	11.3719
ENSG00000003509.16	9.1118	9.0843	8.9616	9.1316	9.0913	9.2517	9.2618	9.2707	9.3019	9.0216	9.0319	9.2716	9.3319	9.3619	9.3813
ENSG00000003756.17	12.5617	12.4442	12.4417	12.6817	12.7619	12.4517	12.6016	12.7223	12.4916	12.4418	12.4516	12.5718	12.6516	12.7516	12.462
ENSG00000003987.14	8.9618	9.7343	8.5316	8.2315	7.9205	9.0917	8.8819	8.5495	8.5322	7.5512	10.4717	8.9216	9.3319	8.6021	8.2603
ENSG00000003989.18	13.0817	13.1241	12.7117	12.9117	12.5519	12.5717	12.0117	13.6423	13.5816	11.9318	13.6716	12.7618	13.3716	11.6616	12.652
ENSG00000004059.11	10.7217	10.8942	10.6717	10.8417	10.8318	10.1217	10.0317	10.4517	10.5517	11.0517	10.8517	10.5817	10.5317	10.4117	10.6617
ENSG00000004139.14	9.8917	9.8642	10.4717	9.8617	10.0716	9.1117	9.4718	10.7818	9.8818	10.1517	10.0118	10.0217	9.9918	9.5818	10.1716
ENSG00000004142.12	10.6917	10.4842	10.8617	10.8317	11.0818	10.2317	10.0617	11.232	10.7117	10.8817	10.3917	10.6117	10.6717	10.4117	11.0218
ENSG00000004399.12	11.4717	11.5042	11.8217	11.4217	11.1218	11.8417	12.0517	10.4417	10.9417	12.0318	11.8616	11.2517	10.8917	11.2917	10.2116
ENSG00000004455.17	12.0117	12.0742	11.8017	11.7617	11.8719	11.7217	11.6417	11.9322	11.9816	11.9718	12.0016	11.8717	11.8516	11.8216	11.9819
ENSG00000004468.13	8.2819	8.7044	8.2615	7.6914	8.1207	8.6517	9.6518	7.0542	8.8121	8.3114	8.532	8.2014	8.572	9.9818	7.9399
ENSG00000004478.8	11.2317	10.9242	10.7917	11.0217	11.1318	10.0017	10.1817	11.172	10.5017	11.3717	10.8317	10.9517	10.9417	11.0917	11.2018
ENSG00000004487.17	11.0117	11.0242	11.1017	11.0617	10.9918	11.0017	11.1117	11.1019	11.1517	11.1117	11.0417	11.1417	11.0917	11.0117	11.1718
ENSG00000004534.15	11.9417	11.8642	12.2317	12.3117	12.0819	11.8317	12.1017	12.3322	11.9716	12.1018	11.9016	11.9717	12.0316	12.4316	12.0919
ENSG00000004660.15	8.6519	9.1043	9.1416	9.1016	8.9512	8.7217	8.532	9.1105	8.5122	9.0916	9.2719	8.7315	8.742	8.772	8.8209
ENSG00000004700.16	11.0117	11.2042	10.8817	10.8417	10.4617	11.5617	11.6717	10.1315	11.1317	10.9617	11.1217	11.0117	11.1717	11.4617	10.8418
ENSG00000004766.17	10.2717	10.2742	10.1917	10.0817	10.2016	10.4917	10.3917	10.5517	10.4017	10.0617	10.3617	10.5517	10.6217	10.5417	10.6017
ENSG00000004776.13	6.8924	6.865	6.6111	6.5511	7.3898	8.4617	7.6023	6.0865	4.9387	7.3111	8.4421	5.8702	5.4056	5.5555	5.1468
ENSG00000004777.18	6.9224	7.0849	7.5114	7.5614	7.5801	6.7219	6.6129	6.7826	6.2644	7.271	7.5824	6.5007	6.2838	5.9745	6.4358
ENSG00000004779.10	9.7018	9.7543	9.2516	9.4817	9.7015	9.4717	9.1718	9.5009	9.4319	9.7517	9.8118	9.5916	9.6418	9.1319	9.7514
ENSG00000004799.8	12.1217	12.0542	14.3217	13.8017	13.2819	14.0517	14.2516	13.1923	10.5317	12.0618	13.3716	14.1918	14.2216	13.7416	11.2518
ENSG00000004809.14	3.7281	3.901	1.6214	3.5162	3.7555	3.793	4.6266	1.4627	4.1639	3.0983	4.5882	5.4796	2.1791	3.2808	1.2495
ENSG00000004838.14	4.1664	4.8477	5.2701	5.3802	5.2626	3.8929	4.1287	4.2149	4.6305	5.0182	4.1605	4.9487	3.7442	4.6191	5.1973
ENSG00000004846.16	6.3127	6.935	6.7812	6.8912	6.7185	7.9818	6.9826	5.6813	5.8055	6.8108	7.2726	5.6499	7.4026	6.1642	6.4257
ENSG00000004848.8	6.023	6.7151	4.4489	4.4489	2.8529	4.2327	4.517	5.4883	2.7936	4.7475	8.2021	4.9487	6.6033	2.8279	4.1313
ENSG00000004864.14	10.0317	10.1642	9.9317	10.1017	9.8716	9.8017	9.9318	10.0814	10.1018	9.8417	9.9118	10.2717	10.0818	9.9518	10.2816
ENSG00000004866.20	9.4118	9.3843	9.7717	9.7017	9.9516	9.5317	9.4618	10.7918	9.7118	9.7817	9.6818	9.6617	9.8718	9.3219	10.5317
ENSG00000004897.12	11.3417	11.4542	11.0617	11.1217	11.0018	12.1217	11.8817	11.392	11.5116	11.0317	11.5717	11.5117	11.6516	11.5916	11.5619
ENSG00000004939.15	5.8731	4.1698	5.0298	5.0198	4.5567	5.832	5.5642	5.1827	5.0184	4.6873	4.8471	4.8184	4.3797	4.7584	6.1947
ENSG00000004948.15	3.4992	3.9906	3.7571	4.3086	4.1112	4.0728	4.4572	4.0689	3.5899	4.5669	3.3077	4.4775	4.0021	5.3561	4.3455
ENSG00000004961.15	8.7319	8.5644	8.1515	8.1615	8.2608	8.3918	8.302	8.0884	8.4522	8.4915	8.622	8.3615	8.3721	8.4921	8.1902
ENSG00000004975.12	9.5118	9.6843	9.5517	9.6717	9.3814	9.7217	9.4918	9.1806	9.4119	9.7717	9.8618	9.5416	9.1419	9.6918	9.001
ENSG00000005001.10	8.112	7.7846	7.6014	7.9515	7.6101	4.4425	5.6541	7.0945	8.1124	7.6912	6.2936	7.1711	6.9729	6.5735	7.6694
ENSG00000005007.13	11.3617	11.0342	11.5017	11.5617	11.6718	10.8617	10.6917	11.7221	11.0517	11.3017	11.1617	11.0317	10.8817	11.0117	10.8618
ENSG00000005020.13	10.4417	10.7542	10.3817	10.3117	10.1116	11.8917	11.7417	9.6811	11.0117	10.8617	11.2417	10.5917	10.6717	11.3017	10.6117
ENSG00000005022.6	12.4117	12.1642	12.4217	12.3517	12.8419	11.0117	11.4817	12.9123	12.4316	12.2718	11.6717	12.1218	12.5116	11.7516	13.002
ENSG00000005059.16	9.0618	9.3143	8.7816	9.0116	8.3508	9.7017	9.7818	7.2453	9.092	9.0816	9.7418	9.0816	9.1419	9.4219	8.6607
ENSG00000005073.6	0	1.9213	0	0	0	0	0	0	0	1.057	1.4701	0	0	2.1636	4.904
ENSG00000005075.15	8.7918	9.1943	8.9916	9.1416	9.1613	8.8317	8.5819	8.4393	8.6421	9.6816	9.0319	8.3215	8.9619	8.872	8.6507
ENSG00000005100.13	9.6318	9.1843	9.5717	9.4917	9.6815	9.1017	9.3118	9.8012	9.2019	9.3816	9.1819	9.1916	9.3019	9.1619	8.961
ENSG00000005102.14	8.092	9.6943	7.5814	8.3616	7.4899	10.3717	8.312	7.2955	8.3922	9.1416	9.1219	9.0016	8.4921	8.1322	8.7008
ENSG00000005108.16	9.4718	10.2442	9.7917	10.0817	9.4314	11.0417	10.4117	9.1004	10.5317	9.8917	10.3717	9.8917	11.2717	10.0318	9.6314
ENSG00000005156.12	10.5817	10.5842	10.8917	10.6517	10.7817	10.2817	10.3717	11.462	10.6817	10.6817	10.4517	10.7917	10.5217	10.6117	10.6317
ENSG00000005175.10	9.5818	9.5143	9.5017	9.1916	9.4614	9.7817	9.8518	9.611	9.7718	9.1516	9.5218	9.8917	9.8818	9.7418	9.6114
ENSG00000005187.12	10.2417	9.6643	10.1917	10.1417	9.9016	7.2018	8.9019	10.5817	11.0517	9.8817	7.4925	10.5817	11.0717	10.4317	10.6817
ENSG00000005189.19	7.782	6.935	7.4014	7.0713	6.7486	6.5919	7.1525	6.7524	7.0832	7.3111	6.9729	7.3012	8.1522	7.7025	7.2284
ENSG00000005194.15	9.8017	9.8142	9.4017	9.5717	9.6015	9.1617	9.3918	9.1505	9.5219	9.9017	9.7018	9.5716	9.3918	9.4818	9.5614
ENSG00000005206.17	10.0617	9.7842	10.5017	10.4717	10.6417	9.0017	9.0019	10.4517	9.4219	9.9317	10.1517	9.7817	9.3219	9.3619	9.8415
ENSG00000005238.19	9.6318	9.3943	8.9316	9.1816	8.9912	9.1617	8.9519	8.4493	9.1519	9.4616	9.6218	8.8916	8.812	8.952	9.2212
ENSG00000005243.10	8.3319	9.1643	8.5516	9.1416	8.541	10.4817	9.7918	7.928	7.8625	9.5916	9.2819	8.6315	8.2521	9.7418	8.3504
ENSG00000005249.13	9.4518	9.9042	9.3617	9.2616	10.2817	11.9217	9.4818	10.1615	9.2119	9.0616	8.682	9.8017	10.2217	9.4019	9.7114
ENSG00000005302.19	9.8217	9.7343	9.8017	9.6217	9.6515	9.9017	10.1917	9.3007	9.9518	9.9117	9.7418	9.7417	9.9418	10.0918	9.6214
ENSG00000005339.15	11.4617	10.8342	11.9217	11.7517	11.8919	11.5017	11.8917	12.2722	11.5516	11.4017	11.1717	11.4117	11.2217	11.2417	11.1718
ENSG00000005379.17	9.8817	9.8142	10.3117	10.0717	10.3717	8.5517	8.192	10.0614	9.3419	9.6616	10.0318	10.1817	9.0519	9.4019	9.4613
ENSG00000005381.8	3.0917	3.8114	3.9677	4.1482	4.8898	4.3726	4.826	1.4627	3.3631	4.2758	3.7534	2.6568	2.8451	4.0627	3.7419
ENSG00000005421.9	5.4037	5.776	5.8406	4.8095	5.7051	4.8423	4.5768	5.9651	5.7157	5.1485	5.535	6.7609	6.0142	4.7186	5.0254
ENSG00000005436.14	9.7118	10.0142	9.8117	9.8917	10.0616	10.2517	9.9717	10.5517	10.0418	9.3416	9.9418	10.3817	10.4317	9.8118	10.1616
ENSG00000005448.17	7.2022	7.7846	7.3614	7.7715	7.6502	7.3018	6.7428	6.7121	7.0033	7.3911	7.9922	7.0411	7.3626	6.9631	7.1883
ENSG00000005469.12	8.9418	9.2243	9.0716	9.0616	9.3514	9.3717	9.5618	8.9502	8.852	9.1316	9.4318	9.5516	9.4518	9.4319	9.2312
ENSG00000005471.18	6.1828	6.915	6.8612	6.2309	6.3275	6.7619	6.7728	5.2541	6.3043	6.8808	7.1827	6.2405	7.9723	7.063	6.2952
ENSG00000005483.21	11.9317	11.7342	11.9817	11.8317	11.9519	12.1017	12.3017	12.4222	12.0516	11.7718	11.7316	11.8417	12.1716	11.8916	11.7519
ENSG00000005486.17	10.2517	10.6642	10.1317	10.0317	10.3117	9.8717	9.8018	9.581	9.8418	10.0017	10.6817	9.7717	9.8218	9.8718	10.0115
ENSG00000005513.10	6.2028	6.3354	5.9707	6.331	6.8087	5.6221	5.1252	6.7322	5.088	6.06	6.064	6.3906	5.3457	5.7151	5.9131
ENSG00000005700.15	11.9417	11.8742	11.9517	11.9117	11.8118	12.0217	12.2217	12.4022	12.2316	11.8418	11.8216	12.2718	12.5116	12.1516	12.382
ENSG00000005801.18	9.8317	9.7643	9.6017	9.4317	9.4814	9.0717	9.5818	9.581	9.9918	9.4316	9.3418	9.5216	9.9718	9.8118	9.9515
ENSG00000005810.18	13.3617	13.5041	13.4417	13.3617	13.3819	14.1617	13.8116	13.5123	13.4616	13.6018	13.6616	13.4918	13.6716	13.8516	13.562
ENSG00000005812.11	10.9917	11.0642	10.8617	10.7717	11.1018	12.0817	11.4917	11.332	11.3016	10.5817	11.2217	11.4517	11.5317	11.4517	11.3019
ENSG00000005844.18	9.1718	9.3543	9.6917	8.7516	9.1413	9.8317	10.3017	8.0583	9.9718	10.5217	10.0518	9.1916	9.7218	10.5617	9.001
ENSG00000005882.12	9.3118	9.3543	9.9917	9.6117	10.2517	9.5117	8.532	10.6618	9.052	9.5116	9.2719	9.6117	9.0619	8.892	10.1316
ENSG00000005884.18	11.9417	11.3742	11.3917	11.2217	11.1518	10.3117	10.3217	10.9019	11.3016	11.7118	11.6117	10.9517	11.1417	10.7217	13.062
ENSG00000005889.15	11.3117	11.1542	11.7617	11.6417	11.3518	11.5717	11.5617	12.1122	11.3016	11.7418	11.0617	11.9917	11.4517	11.5516	11.8219
ENSG00000005893.16	12.7917	12.9441	12.6017	12.6717	12.8119	12.7717	13.2616	12.9023	13.0516	12.4318	12.5716	13.1918	13.0216	13.1616	12.792
ENSG00000005961.19	3.9173	3.7119	2.8631	3.6367	3.0902	4.2327	4.1983	4.2149	3.8667	4.105	4.3594	3.8954	3.4174	3.904	3.2146
ENSG00000005981.13	5.3438	5.9158	5.2401	4.6392	3.7962	4.7324	4.517	5.7625	5.4765	4.8076	6.7431	5.6098	6.7432	4.8978	5.8426
ENSG00000006007.12	11.0917	11.0942	10.9417	11.0517	11.0218	10.4317	10.8017	11.0519	11.4116	11.0617	10.6417	11.1617	11.0617	10.7617	11.2618
ENSG00000006015.17	9.0718	9.0543	8.8816	9.4017	9.2614	8.0818	7.5423	8.2088	7.6427	9.3816	9.3119	8.1714	7.9123	7.7824	8.4105
ENSG00000006016.11	6.2927	6.6052	5.5504	5.5504	7.8404	8.1318	4.7362	5.5392	7.1631	6.6206	5.7146	6.881	5.8246	4.2017	5.2579
ENSG00000006025.12	9.6918	8.7244	9.1516	8.7916	9.2013	8.1318	8.252	9.4008	8.7021	9.5016	9.2419	8.8116	8.1222	8.5221	9.3012
ENSG00000006042.12	10.7317	10.9542	10.9517	10.8517	11.1618	11.2317	11.0117	11.5721	10.8217	11.3817	11.0417	11.1817	10.9517	10.9717	10.9318
ENSG00000006047.13	3.8277	1.5104	2.3696	2.0466	3.0902	4.1527	0.9372	3.0023	0.8857	2.0846	1.4701	2.889	3.0125	0.9042	1.9034
ENSG00000006059.4	0	0	0	0	0	0	0	0	0	0	0.9183	0	0	0	0
ENSG00000006062.17	9.4218	9.3143	9.7517	9.5217	9.8316	8.9917	9.0519	9.5109	9.2219	9.5216	9.0219	9.2616	8.862	9.2519	8.5506
ENSG00000006071.15	11.1417	12.6541	11.8317	11.1717	9.9216	10.6817	10.6617	9.9013	9.5619	10.8417	13.5816	10.7417	11.2717	10.4317	10.2616
ENSG00000006116.4	0	0	1.0312	0	1.1699	0	0	0	0.8857	0	0	0	1.8683	0	0
ENSG00000006118.14	9.1318	9.7343	8.8216	9.3217	8.3108	7.6418	9.2818	7.014	8.972	9.4016	9.5118	8.5115	8.2521	9.0719	8.8309
ENSG00000006125.18	12.6117	12.5342	12.5617	12.4817	12.4819	12.4017	12.7316	12.3022	12.3416	12.6618	12.9416	12.1117	12.4516	12.4616	12.192
ENSG00000006128.12	5.7732	4.1499	3.0542	4.058	5.7754	4.3026	2.8883	1.4627	1.825	1.6554	3.7534	2.889	4.9969	2.1636	5.9131
ENSG00000006194.10	10.2817	10.2442	10.2917	10.3817	10.3817	9.9617	9.9817	10.3516	10.2417	10.2617	10.2517	10.2417	10.3017	10.2217	10.1016
ENSG00000006210.7	9.6018	9.6543	9.9417	9.6317	9.2714	9.3417	9.3918	8.6698	9.9218	9.7817	9.0119	9.8017	9.5418	9.8318	9.0811
ENSG00000006282.21	11.1017	10.4242	10.9117	10.3617	11.4718	9.5017	10.0917	10.7118	10.0118	10.5817	11.0417	10.3717	10.5317	10.6117	10.6217
ENSG00000006283.18	5.204	4.6482	4.3787	4.7594	6.1469	6.9018	6.6528	4.0689	3.3631	5.9699	7.3126	4.2568	3.7442	5.4758	3.4118
ENSG00000006327.14	11.0017	10.4942	9.8717	10.4617	10.6717	9.1217	9.7418	9.2006	10.6217	10.3117	9.4618	9.9017	10.4717	9.8018	9.6314
ENSG00000006377.11	0	0	1.0312	0	1.1699	0.9909	0	1.4627	0	0	0.9183	0	0	0.9042	0
ENSG00000006432.15	9.7518	9.5043	9.9517	9.8017	9.6915	7.5418	8.502	10.3216	9.6618	9.5216	9.9518	9.4516	9.7818	9.5118	9.8915
ENSG00000006451.8	10.3817	10.0442	9.7617	9.9017	9.5015	10.1817	10.4917	9.6411	10.2417	10.0317	10.0817	9.9317	10.0818	10.1118	10.1216
ENSG00000006453.14	10.7717	10.0542	10.1417	10.2617	10.5417	8.4617	9.4018	10.3216	10.4417	10.3417	9.7118	9.8817	10.1017	9.8518	10.7618
ENSG00000006459.11	11.5517	11.3542	11.2017	11.2417	11.2618	11.5317	11.4317	11.7321	11.9416	11.2417	11.4117	11.4417	11.8416	11.3417	11.3319
ENSG00000006468.14	9.5718	10.3842	9.3617	9.7017	9.2514	10.3817	10.6217	9.0103	9.2819	9.4116	10.5417	9.1616	10.9317	10.5217	10.0816
ENSG00000006530.18	10.1017	10.1342	10.0617	9.9917	10.1316	10.0617	10.1117	10.2515	10.2317	10.1017	10.1117	10.2817	10.2317	10.2017	10.2116
ENSG00000006534.16	9.3918	9.6343	9.6417	9.5817	9.5315	8.7217	8.9219	9.2707	9.132	9.7316	9.3019	9.0316	8.652	9.3019	9.3312
ENSG00000006555.11	8.8418	7.9545	8.6216	8.5716	8.6911	5.832	6.9526	8.7198	8.3023	8.7115	8.2421	7.9714	7.9323	7.3527	9.2412
ENSG00000006576.16	10.2517	10.6742	10.2217	10.2317	9.7015	11.0717	11.3617	9.9113	10.4817	9.8917	10.8117	10.4217	10.7317	10.9217	10.4417
ENSG00000006606.8	3.7281	4.8078	2.8631	3.225	3.4595	4.1527	3.88	2.1681	3.1073	4.5669	7.1527	3.7849	2.8451	4.8082	4.2436
ENSG00000006607.14	10.1117	9.6843	10.0317	9.9317	9.9216	9.3017	9.3118	9.9313	10.1618	9.7517	9.6918	9.7517	9.5318	9.6918	9.9015
ENSG00000006611.16	9.8717	9.8342	8.4916	9.5217	9.9316	7.1918	8.0121	9.0604	8.1623	9.0816	10.2517	9.1316	9.1119	8.892	9.6514
ENSG00000006625.18	9.3118	9.5743	8.7616	9.0516	9.2113	9.3217	9.4918	8.9302	9.2919	9.0616	9.1119	9.2216	9.6018	9.4319	9.5513
ENSG00000006634.8	8.1819	8.1645	7.9715	8.1415	7.6702	7.8118	8.7419	8.5495	8.8121	7.5912	8.0822	8.3715	8.4921	8.5521	8.2102
ENSG00000006638.13	8.2019	8.2745	8.6216	8.3616	8.2908	8.4117	8.442	8.79	8.4122	8.4214	8.3121	8.4515	8.1322	8.2622	8.6807
ENSG00000006652.14	10.9917	10.5342	11.3617	11.7017	12.1719	10.5617	10.8017	12.4122	11.5716	10.7617	10.0718	11.2817	11.5317	10.6417	11.8219
ENSG00000006659.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.12	8.6819	8.6844	8.7916	8.7216	8.7911	8.3118	8.442	8.8401	8.7521	8.8615	8.662	8.8616	8.532	8.772	8.6507
ENSG00000006704.10	9.4918	9.3743	9.5117	9.6117	9.0513	8.3818	8.6519	9.2807	8.882	9.1716	9.2719	9.3716	8.9819	8.862	9.0711
ENSG00000006712.15	10.0317	10.1042	9.7117	10.0417	10.1416	10.1217	9.6418	9.3708	9.7818	10.2717	10.2617	9.7717	9.7718	9.9018	9.7214
ENSG00000006715.16	12.0117	12.1842	11.9717	12.0617	11.8719	11.9317	12.2417	11.7821	12.1216	11.9618	11.9216	12.4818	12.3716	12.4916	12.172
ENSG00000006740.17	9.0618	9.1243	8.9916	8.9116	8.8712	8.5517	8.282	8.81	8.7521	8.6515	9.1219	8.5515	8.9719	8.5621	8.4305
ENSG00000006744.19	10.7117	10.7442	10.6517	10.7217	10.7317	10.3017	10.0317	10.5217	10.3717	10.8317	10.6817	10.4317	10.2717	10.4917	10.4117
ENSG00000006747.15	8.9818	8.9643	8.5316	8.1815	8.2508	8.8017	9.1518	7.938	9.042	9.4416	9.1519	8.5315	9.3619	8.722	9.5814
ENSG00000006756.16	11.6917	11.3542	12.3017	12.4217	12.0419	9.8017	10.3317	12.4822	11.6316	12.0418	10.5417	12.2118	11.3817	11.2117	12.1319
ENSG00000006757.12	7.832	7.9445	8.5716	8.4616	8.1207	8.0218	7.3324	9.1004	7.7226	8.4615	7.7124	8.4815	8.0023	7.5925	8.8909
ENSG00000006788.14	0	3.7119	0	2.8631	2.8632	2.9441	3.6912	0	1.4352	2.5318	2.8538	4.4073	1.4733	2.1636	2.7112
ENSG00000006831.10	11.1417	11.0342	11.2017	11.4217	11.2018	11.4117	11.0917	11.6221	11.3916	11.0517	10.7417	11.1017	11.1417	10.8317	10.7318
ENSG00000006837.12	5.4436	6.4453	5.5004	5.6805	6.0565	6.6919	6.2432	5.9246	5.7955	5.7697	6.2836	6.1805	6.3636	6.0045	5.2781
ENSG00000007001.13	3.6186	3.6026	4.5791	3.6367	3.7555	3.9828	2.7006	3.0023	3.1073	3.2698	3.0213	4.6079	4.2206	4.2017	3.5875
ENSG00000007038.11	3.8277	4.9375	4.519	4.3086	1.1699	2.5648	2.4739	5.6509	4.0251	6.0901	3.1694	3.4028	3.8334	4.2017	7.459
