idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285849.1	4.6152	4.4887	3.8775	4.519	4.7688	4.9323	4.8758	5.3764	4.6802	3.6828	4.3693	4.4274	5.0068	4.7584	4.7216
ENSG00000285850.1	6.2028	6.3054	6.9512	6.7912	6.508	6.7119	7.3924	6.3188	5.9551	5.4291	5.3854	6.0203	6.0741	7.9124	5.9131
ENSG00000285851.1	7.802	7.6546	7.9415	7.7715	7.7303	7.8218	8.372	8.2088	8.1623	7.251	7.8823	8.1114	8.2821	8.2822	8.06
ENSG00000285852.1	5.0043	5.0273	5.7306	5.0098	4.8898	5.762	6.7528	4.3395	4.5808	4.9681	5.535	5.1291	4.6881	5.9346	5.4497
ENSG00000285853.1	3.6087	4.379	5.5804	4.1983	5.8457	4.6924	3.8005	5.8841	4.1837	5.1986	4.1903	2.9798	5.256	5.1269	5.2074
ENSG00000285854.1	3.5291	2.9871	3.3355	3.8073	4.0402	2.8542	2.75	4.027	3.3926	3.3807	2.1089	3.3223	0	3.0935	3.8959
ENSG00000285855.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285856.1	2.7346	3.8114	3.7571	2.8631	2.583	5.1522	4.1983	3.531	3.1073	3.2698	3.0213	3.5437	3.8334	3.5179	2.3597
ENSG00000285857.1	7.1722	7.4247	7.6014	8.0115	7.7303	7.3018	7.4223	7.7574	7.5927	7.261	7.1927	7.8914	7.4326	7.7225	8.3003
ENSG00000285858.1	2.7346	0.948	0	0	0	0	0.9372	0	0	0	0	1.0466	0	0	0
ENSG00000285859.1	0	1.7351	0	1.0414	0	2.2854	0	0	0.4519	0	1.4797	1.1909	2.3548	1.2233	0
ENSG00000285860.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285861.1	0	0	0	0	0	0	0	0	0	0	0	1.0466	0	0	0
ENSG00000285862.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285863.1	5.7732	5.776	5.7606	5.9407	5.5643	6.5319	5.8737	6.228	6.1946	5.4992	5.9642	6.4807	6.4835	6.5536	6.1243
ENSG00000285864.1	0	0	0	0	0	0	2.8093	0	0	0	0	0	2.8943	2.7004	0
